WARN StatusConsoleListener The use of package scanning to locate plugins is deprecated and will be removed in a future release
WARN StatusConsoleListener The use of package scanning to locate plugins is deprecated and will be removed in a future release
WARN StatusConsoleListener The use of package scanning to locate plugins is deprecated and will be removed in a future release
WARN StatusConsoleListener The use of package scanning to locate plugins is deprecated and will be removed in a future release
Creating summariser <summary>
Created the tree successfully using sbom-ingest.jmx
Starting standalone test @ 2026 Aug 18 14:33:17 UTC (1787063597908)
Waiting for possible Shutdown/StopTestNow/HeapDump/ThreadDump message on port 4445
summary =  10523 in 00:11:42 =   15.0/s Avg:   116 Min:     2 Max:   542 Err:   792 (7.53%)
summary +    452 in 00:00:30 =   15.1/s Avg:   140 Min:     3 Max:   277 Err:    50 (11.06%) Active: 24 Started: 24 Finished: 0
summary =  10975 in 00:12:12 =   15.0/s Avg:   117 Min:     2 Max:   542 Err:   842 (7.67%)
summary +    454 in 00:00:30 =   15.1/s Avg:   105 Min:     3 Max:   227 Err:    50 (11.01%) Active: 24 Started: 24 Finished: 0
summary =  11429 in 00:12:42 =   15.0/s Avg:   117 Min:     2 Max:   542 Err:   892 (7.80%)
summary +    446 in 00:00:30 =   14.8/s Avg:   108 Min:     2 Max:   195 Err:    49 (10.99%) Active: 24 Started: 24 Finished: 0
summary =  11875 in 00:13:12 =   15.0/s Avg:   117 Min:     2 Max:   542 Err:   941 (7.92%)
summary +    448 in 00:00:30 =   15.0/s Avg:    97 Min:     3 Max:   187 Err:    51 (11.38%) Active: 24 Started: 24 Finished: 0
summary =  12323 in 00:13:42 =   15.0/s Avg:   116 Min:     2 Max:   542 Err:   992 (8.05%)
summary +    454 in 00:00:30 =   15.1/s Avg:   108 Min:     2 Max:   212 Err:    49 (10.79%) Active: 24 Started: 24 Finished: 0
summary =  12777 in 00:14:12 =   15.0/s Avg:   116 Min:     2 Max:   542 Err:  1041 (8.15%)
summary +    452 in 00:00:30 =   15.1/s Avg:    97 Min:     3 Max:   168 Err:    51 (11.28%) Active: 24 Started: 24 Finished: 0
