22:56:48 rearm-keycloak-0                       2m      723Mi    
22:56:48 rearm-keycloak-postgres-0              1m      33Mi     
22:56:48 rearm-oci-artifact-5c8686f45c-mmxzz    201m    68Mi     
22:56:48 rearm-postgresql-0                     264m    333Mi    
22:56:48 rearm-rebom-backend-768fd58455-46nwc   39m     127Mi    
22:56:48 rearm-rebom-backend-768fd58455-dp9ps   31m     118Mi    
22:56:48 rearm-rebom-backend-768fd58455-tmqdc   23m     115Mi    
22:56:48 rearm-rebom-backend-768fd58455-vkfb5   28m     135Mi    
22:56:48 rearm-rebom-postgres-0                 227m    173Mi    
22:56:48 rearm-ui-5c9b8ddf9d-krkqk              6m      3Mi      
22:56:48 testreg-66bb8f476c-wt2mf               1m      1139Mi   
22:56:48 zottest-ff7cfd65c-xbgvk                3456m   127Mi    
22:57:18 rearm-backend-6d79d5dcc8-rj9w4         133m    3916Mi   
22:57:18 rearm-keycloak-0                       2m      723Mi    
22:57:18 rearm-keycloak-postgres-0              1m      33Mi     
22:57:18 rearm-oci-artifact-5c8686f45c-mmxzz    191m    67Mi     
22:57:18 rearm-postgresql-0                     254m    332Mi    
22:57:18 rearm-rebom-backend-768fd58455-46nwc   32m     129Mi    
22:57:18 rearm-rebom-backend-768fd58455-dp9ps   27m     118Mi    
22:57:18 rearm-rebom-backend-768fd58455-tmqdc   23m     118Mi    
22:57:18 rearm-rebom-backend-768fd58455-vkfb5   26m     132Mi    
22:57:18 rearm-rebom-postgres-0                 208m    173Mi    
22:57:18 rearm-ui-5c9b8ddf9d-krkqk              5m      3Mi      
22:57:18 testreg-66bb8f476c-wt2mf               1m      1139Mi   
22:57:18 zottest-ff7cfd65c-xbgvk                3523m   123Mi    
22:57:49 rearm-backend-6d79d5dcc8-rj9w4         148m    3829Mi   
22:57:49 rearm-keycloak-0                       2m      723Mi    
22:57:49 rearm-keycloak-postgres-0              1m      33Mi     
22:57:49 rearm-oci-artifact-5c8686f45c-mmxzz    184m    67Mi     
22:57:49 rearm-postgresql-0                     269m    329Mi    
22:57:49 rearm-rebom-backend-768fd58455-46nwc   29m     126Mi    
22:57:49 rearm-rebom-backend-768fd58455-dp9ps   24m     120Mi    
22:57:49 rearm-rebom-backend-768fd58455-tmqdc   22m     115Mi    
22:57:49 rearm-rebom-backend-768fd58455-vkfb5   26m     132Mi    
22:57:49 rearm-rebom-postgres-0                 197m    173Mi    
22:57:49 rearm-ui-5c9b8ddf9d-krkqk              5m      3Mi      
22:57:49 testreg-66bb8f476c-wt2mf               1m      1139Mi   
22:57:49 zottest-ff7cfd65c-xbgvk                3573m   124Mi    
22:58:20 rearm-backend-6d79d5dcc8-rj9w4         109m    3561Mi   
22:58:20 rearm-keycloak-0                       2m      723Mi    
22:58:20 rearm-keycloak-postgres-0              1m      33Mi     
22:58:20 rearm-oci-artifact-5c8686f45c-mmxzz    174m    57Mi     
22:58:20 rearm-postgresql-0                     273m    330Mi    
22:58:20 rearm-rebom-backend-768fd58455-46nwc   30m     125Mi    
22:58:20 rearm-rebom-backend-768fd58455-dp9ps   26m     120Mi    
22:58:20 rearm-rebom-backend-768fd58455-tmqdc   16m     116Mi    
22:58:20 rearm-rebom-backend-768fd58455-vkfb5   24m     131Mi    
22:58:20 rearm-rebom-postgres-0                 192m    173Mi    
22:58:20 rearm-ui-5c9b8ddf9d-krkqk              5m      3Mi      
22:58:20 testreg-66bb8f476c-wt2mf               1m      1139Mi   
22:58:20 zottest-ff7cfd65c-xbgvk                3638m   129Mi    
22:58:51 rearm-backend-6d79d5dcc8-rj9w4         99m     3383Mi   
22:58:51 rearm-keycloak-0                       2m      723Mi    
22:58:51 rearm-keycloak-postgres-0              1m      33Mi     
22:58:51 rearm-oci-artifact-5c8686f45c-mmxzz    157m    59Mi     
22:58:51 rearm-postgresql-0                     259m    333Mi    
22:58:51 rearm-rebom-backend-768fd58455-46nwc   25m     128Mi    
22:58:51 rearm-rebom-backend-768fd58455-dp9ps   21m     126Mi    
22:58:51 rearm-rebom-backend-768fd58455-tmqdc   24m     115Mi    
22:58:51 rearm-rebom-backend-768fd58455-vkfb5   16m     137Mi    
22:58:51 rearm-rebom-postgres-0                 173m    173Mi    
22:58:51 rearm-ui-5c9b8ddf9d-krkqk              5m      3Mi      
22:58:51 testreg-66bb8f476c-wt2mf               1m      1139Mi   
22:58:51 zottest-ff7cfd65c-xbgvk                3594m   139Mi    
22:59:22 rearm-backend-6d79d5dcc8-rj9w4         101m    3205Mi   
22:59:22 rearm-keycloak-0                       2m      723Mi    
22:59:22 rearm-keycloak-postgres-0              1m      33Mi     
22:59:22 rearm-oci-artifact-5c8686f45c-mmxzz    160m    68Mi     
22:59:22 rearm-postgresql-0                     254m    334Mi    
22:59:22 rearm-rebom-backend-768fd58455-46nwc   22m     126Mi    
