ts,releases,queued,failed,sbom_components,backend_cpu_m,backend_mem_mi,registry_cpu_m
04:15:54,20016,16155,0,6684,102,3846,353
04:16:55,20016,16016,0,6820,78,3303,303
04:17:55,20016,15875,0,6950,55,3123,411
04:18:56,20016,15753,0,7081,75,3123,404
04:19:56,20016,15616,0,7217,1005,6347,435
04:20:57,20016,15489,0,7337,77,7656,440
04:21:58,20016,15366,0,7473,72,7656,522
04:22:58,20016,15224,0,7599,67,7656,410
04:23:59,20016,15106,0,7731,95,7657,448
04:25:00,20016,14966,0,7868,51,7657,417
04:26:00,20016,14831,0,7995,91,7657,493
04:27:01,20016,14716,0,8133,87,7668,477
04:28:01,20016,14567,0,8259,50,7656,487
04:29:02,20016,14436,0,8388,82,7656,376
04:30:03,20016,14316,0,8529,59,7666,420
04:31:03,20016,14170,0,8657,80,7113,422
04:32:04,20016,14042,0,8783,57,6209,406
04:33:04,20016,13916,0,8921,75,5034,496
04:34:05,20016,13779,0,9044,57,4582,388
04:35:06,20016,13666,0,9183,84,4581,517
04:36:06,20016,13516,0,9311,76,4581,440
04:37:07,20016,13387,0,9440,44,4581,381
04:38:07,20016,13266,0,9579,81,4581,391
04:39:08,20016,13120,0,9704,53,4219,409
04:40:09,20016,13005,0,9834,941,7400,283
04:41:09,20016,12866,0,9961,67,7666,514
04:42:10,20016,12735,0,10086,63,7667,494
04:43:10,20016,12616,0,10229,69,7666,344
04:44:11,20016,12473,0,10351,72,7666,528
04:45:12,20016,12356,0,10482,66,7666,445
04:46:12,20016,12216,0,10612,48,7666,389
04:47:13,20016,12085,0,10737,90,7667,373
04:48:13,20016,11966,0,10877,54,7666,385
04:49:14,20016,11916,0,10934,63,7666,363
04:50:15,20016,11866,0,10983,37,7665,530
04:51:15,20016,11816,0,11030,50,6852,362
04:52:16,20016,11766,0,11084,46,5768,358
04:53:16,20016,11716,0,11133,50,4683,461
04:54:17,20016,11666,0,11185,66,4502,497
04:55:17,20016,11616,0,11232,43,4502,492
04:56:18,20016,11566,0,11283,40,4502,491
04:57:19,20016,11516,0,11334,47,4502,481
04:58:19,20016,11466,0,11384,43,4502,502
04:59:20,20016,11416,0,11432,69,4140,504
05:00:20,20016,11366,0,11484,1044,7558,459
05:01:21,20016,11316,0,11531,19,11356,1
05:02:21,20016,11266,0,11582,26,11355,35
05:03:22,20016,11216,0,11632,7,11355,321
05:04:23,20016,11166,0,11682,20,11356,171
05:05:23,20016,11116,0,11732,45,11357,1
05:06:24,20016,11066,0,11784,6,11357,1
05:07:24,20016,11016,0,11833,28,11356,80
05:08:25,20016,10966,0,11882,34,11356,1
05:09:26,20016,10916,0,11933,7,11356,133
05:10:26,20016,10866,0,11983,9,11175,1
05:11:27,20016,10816,0,12031,26,9729,1
05:12:27,20016,10766,0,12083,28,8102,1
05:13:28,20016,10716,0,12132,20,6415,59
05:14:28,20016,10666,0,12184,20,6415,1
05:15:29,20016,10616,0,12234,6,6415,166
05:16:30,20016,10566,0,12283,9,6415,1
05:17:30,20016,10516,0,12332,28,6415,104
05:18:31,20016,10466,0,12384,25,6415,170
05:19:31,20016,10416,0,12434,32,5602,1
05:20:32,20016,10366,0,12480,1024,9908,319
05:21:33,20016,10316,0,12533,28,11347,165
05:22:33,20016,10266,0,12582,7,11346,1
05:23:34,20016,10216,0,12635,23,11346,1
05:24:34,20016,10166,0,12683,5,11346,116
05:25:35,20016,10116,0,12734,6,11346,1
05:26:36,20016,10066,0,12781,7,11346,1
05:27:36,20016,10013,0,12832,8,11346,1
05:28:37,20016,9961,0,12882,15,11346,1
05:29:37,20016,9908,0,12932,10,11346,1
05:30:38,20016,9856,0,12982,11,11075,1
05:31:39,20016,9794,0,13030,10,9629,1
05:32:39,20016,9747,0,13084,26,8183,1
05:33:40,20016,9690,0,13134,16,6234,1
05:34:40,20016,9641,0,13187,5,6234,1
05:35:41,20016,9588,0,13236,7,6234,1
05:36:41,20016,9536,0,13285,9,6234,1
05:37:42,20016,9484,0,13343,5,6235,133
05:38:43,20016,9432,0,13392,10,6054,1
05:39:43,20016,9382,0,13442,11,5240,1
05:40:44,20016,9330,0,13495,1025,11361,1
05:41:45,20016,9278,0,13545,6,11361,1
05:42:45,20016,9227,0,13599,5,11360,1
05:43:46,20016,9175,0,13650,9,11360,1
05:44:46,20016,9124,0,13700,9,11360,1
05:45:47,20016,9073,0,13754,9,11360,1
05:46:48,20016,9022,0,13803,18,11360,1
05:47:48,20016,8969,0,13854,7,11360,1
